TMDB408266,movie,Birth of the Dragon,,,2016,Lands End Trail at Eagles Point,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,7
TMDB10650,movie,Sudden Impact,,,1983,Point Lobos,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,,7
TMDB57774,tv,Looking,,,2014,Sutro Baths (Point Lobos Avenue),"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,7
TMDB399266,movie,Pushing Dead,,,2016,1888 Clement Street,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,8
TMDB14703,tv,What's Up Doc?,,,1972,22nd Avenue and Balboa Street,Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand,Ryan O'Neal,,8
TMDB426,movie,Vertigo,,,1958,34th Avenue and Clement,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,8
TMDB70202,movie,Patty Hearst,,,1988,38th Street at Balboa Street,Atlantic Entertainment Group,Atlantic Releasing Corporation,Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Ving Rhames,8
TMDB160588,movie,Blue Jasmine,,,2013,5546 Geary,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,8
TMDB831627,movie,"Smile Again, Jenny Lee",,,2015,5546 Geary,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,8
TMDB42995,movie,Experiment in Terror,,,1962,600 32nd Avenue,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,8
TMDB831627,movie,"Smile Again, Jenny Lee",,,2015,883 42nd Ave.,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,8
TMDB11610,movie,"Play it Again, Sam",,,1972,Balboa at 22nd Avenue,Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,8
TMDB323692,movie,Quitters,,,2015,Clement and 7th Avenue,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,8
TMDB44235,tv,Red Widow,,,2013,Geary and 20th Ave,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,8
TMDB44235,tv,Red Widow,,,2013,Geary and 27th Ave,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,8
TMDB2018,movie,The Wedding Planner,,,2001,Lincoln Park,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,8
TMDB38921,movie,Burglar,,,1987,California Academy of Sciences (Golden Gate Park),Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,,9
TMDB42158,movie,The Competition,,,1980,California Academy of Sciences (Golden Gate Park),Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Amy Irving,Lee Remick,9
